"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Technology Youth Talent Pool","Vodafone Magyarország","Debrecen, Hajdú-Bihar, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Other","","",
"IP/VoIP Support Engineer","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Information Technology","","",
"Software Dev Engineer (SFS600)","Quest Software","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Financial Services","Engineering","Information Technology","",
"Automotive Support Engineer with Dutch - Budapest","MSX International","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Automotive","Financial Services","Information Technology","","",
"Financial Operation Associate - Greek Speaking (part time, 20 hours/ weeks)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"IP/VoIP Support Engineer","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Information Technology","","",
"Automotive Support Engineer with Dutch - Budapest","MSX International","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Automotive","Financial Services","Information Technology","","",
"Financial Operation Associate - Greek Speaking (part time, 20 hours/ weeks)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"IP/VoIP Support Engineer","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Information Technology","","",
"L1 Technical Support Agent - Part Time (Budapest, Spanish Speaking)","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"L1 Technical Support Agent - Part Time (Budapest)","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"L1 Technical Support Agent - Part Time (Budapest, Spanish Speaking) - Instructure","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Automotive Support Engineer with Dutch - Budapest","Impetus Automotive","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Automotive","Financial Services","Information Technology","","",
"Technology Youth Talent Pool","Vodafone Magyarország","Debrecen, Hajdú-Bihar, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Other","","",
"L1 Technical Support Agent - Part Time (Budapest) - Instructure","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Financial Operation Associate - Greek Speaking (part time)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"Financial Operation Associate - Greek Speaking (part time)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"Financial Operations Associate - Interconnection - Italian speaking (part time 30 hours/week)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"Finnish speaking HR Operations Associate - HR Operations Service Delivery","GE Corporate","Váci Járás, Pest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Financial Services","Human Resources","","",
"Financial Operations Associate - Interconnection - Italian speaking (part time 30 hours/week)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"Finnish speaking HR Operations Associate - HR Operations Service Delivery","GE Corporate","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Financial Services","Human Resources","","",
"Finnish speaking HR Operations Associate - HR Operations Service Delivery","GE Corporate","Váci Járás, Pest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Financial Services","Human Resources","","",
"Finnish speaking HR Operations Associate - HR Operations Service Delivery","GE Corporate","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Financial Services","Human Resources","","",
