"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Financial Operation Associate - Greek Speaking (part time)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"L1 Technical Support Agent - Part Time (Budapest, Spanish Speaking) - Instructure","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"sales advisor részmunkaidő","H&M","Veszprém, Veszprém, Hungary","Entry level","Part-time","Marketing & Advertising","Apparel & Fashion","Retail","Sales","Business Development","",
"HR asszisztens","PRODIÁK Iskolaszövetkezet","Budapest, Budapest, Hungary","Entry level","Part-time","Higher Education","Logistics & Supply Chain","Financial Services","Human Resources","","",
"HR Gyakornok (toborzás-kiválasztás)","PRODIÁK Iskolaszövetkezet","Budapest, Budapest, Hungary","Entry level","Part-time","Higher Education","Logistics & Supply Chain","Financial Services","Human Resources","","",
"Software Dev Engineer (SFS600)","Quest Software","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Financial Services","Engineering","Information Technology","",
"L1 Technical Support Agent - Part Time (Budapest)","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"IP/VoIP Support Engineer","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Information Technology","","",
"Automotive Support Engineer with Dutch - Budapest","Impetus Automotive","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Automotive","Financial Services","Information Technology","","",
"Financial Operations Associate - Interconnection - Italian speaking (part time 30 hours/week)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"Financial Operations Associate - Interconnection - Italian speaking (part time 30 hours/week)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Project Management","Information Technology","",
"L1 Technical Support Agent - Part Time (Budapest, Spanish Speaking)","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
